borrower_id,loan_id,cycle_start_date,due_date,statement_date,amount_due,amount_paid,days_late,fee_assessed,interest_accrued,remaining_principal,payment_method,autopay_flag,hardship_flag,state,product_type,apr,term_months,statement_text,pay_ratio,is_partial_payment,fee_to_paid,fees_rolling3,fee_to_paid_prev,spiral_flag,anomaly_score,is_anomaly,explanation
B1000,L200,2024-10-01,2024-10-22,2024-10-15,250.0,259.15,0,0.0,0.0,511.38,Check,0,0,FL,installment,0.2721,24,Paid full on time via ACH.,1.0366,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1000,L200,2024-10-31,2024-11-21,2024-11-14,250.0,241.07,0,0.0,0.2,270.51,Cash,0,0,FL,installment,0.2721,24,Paid full on time via ACH.,0.96428,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1000,L200,2024-11-30,2024-12-21,2024-12-14,250.0,238.01,0,0.0,0.27,32.77,Card,0,0,FL,installment,0.2721,24,Paid full on time via ACH.,0.95204,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1000,L200,2024-12-30,2025-01-20,2025-01-13,250.0,255.55,0,0.0,0.0,0.0,Card,0,0,FL,installment,0.2721,24,Paid full on time via ACH.,1.0222,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1000,L200,2025-01-29,2025-02-19,2025-02-12,250.0,242.05,0,0.0,0.18,0.0,Wallet,0,0,FL,installment,0.2721,24,Paid full on time via ACH.,0.9682000000000001,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1000,L200,2025-02-28,2025-03-21,2025-03-14,250.0,252.94,0,0.0,0.0,0.0,Card,0,0,FL,installment,0.2721,24,Paid full on time via ACH.,1.01176,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1001,L201,2024-10-01,2024-10-22,2024-10-15,400.0,389.31,0,0.0,0.17,4492.76,Cash,0,0,CA,bnpl,0.1891,6,Paid full on time via ACH.,0.973275,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1001,L201,2024-10-31,2024-11-21,2024-11-14,400.0,395.3,0,0.0,0.07,4097.53,Check,0,0,CA,bnpl,0.1891,6,Paid full on time via ACH.,0.9882500000000001,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1001,L201,2024-11-30,2024-12-21,2024-12-14,400.0,403.7,0,0.0,0.0,3697.53,Cash,0,0,CA,bnpl,0.1891,6,Paid full on time via ACH.,1.00925,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1001,L201,2024-12-30,2025-01-20,2025-01-13,400.0,414.4,0,0.0,0.0,3297.53,Wallet,0,0,CA,bnpl,0.1891,6,Paid full on time via ACH.,1.036,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1001,L201,2025-01-29,2025-02-19,2025-02-12,400.0,398.02,0,0.0,0.03,2899.54,Card,0,0,CA,bnpl,0.1891,6,Paid full on time via ACH.,0.99505,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1001,L201,2025-02-28,2025-03-21,2025-03-14,400.0,417.96,0,0.0,0.0,2499.54,Check,0,0,CA,bnpl,0.1891,6,Paid full on time via ACH.,1.0449,0,0.0,0.0,0.0,0,1,0,On-time full or near-full payment.
B1002,L202,2024-10-01,2024-10-22,2024-10-15,100.0,64.76,0,0.0,0.53,984.94,ACH,1,0,FL,revolving,0.1817,12,Customer disputes late fee; claims payment posted late.,0.6476000000000001,1,0.0,0.0,0.0,0,1,0,Fee dispute—manual review recommended.
B1002,L202,2024-10-31,2024-11-21,2024-11-14,100.0,73.13,0,0.0,0.41,912.22,Card,1,0,FL,revolving,0.1817,12,Autopay failed: insufficient funds. Retry scheduled.,0.7313,1,0.0,0.0,0.0,0,1,0,Autopay failure likely caused the delay/fee; ensure funds & retry.
B1002,L202,2024-11-30,2024-12-21,2024-12-14,100.0,41.57,0,0.0,0.88,871.53,Card,1,0,FL,revolving,0.1817,12,Autopay failed: insufficient funds. Retry scheduled.,0.4157,1,0.0,0.0,0.0,0,1,0,Autopay failure likely caused the delay/fee; ensure funds & retry.
B1002,L202,2024-12-30,2025-01-20,2025-01-13,100.0,59.76,2,5.0,0.61,812.38,Check,1,1,FL,revolving,0.1817,12,Autopay failed; retry scheduled.,0.5976,1,0.08366800535475234,1.0,0.0,0,1,0,Autopay failure likely caused the delay/fee; ensure funds & retry.
B1002,L202,2025-01-29,2025-02-19,2025-02-12,100.0,59.43,0,0.0,0.61,753.56,Wallet,1,0,FL,revolving,0.1817,12,Autopay failed: insufficient funds. Retry scheduled.,0.5943,1,0.0,1.0,0.08366800535475234,0,1,0,Autopay failure likely caused the delay/fee; ensure funds & retry.
B1002,L202,2025-02-28,2025-03-21,2025-03-14,100.0,88.26,0,0.0,0.18,665.48,Wallet,1,0,FL,revolving,0.1817,12,Card declined; trying ACH instead tomorrow.,0.8826,1,0.0,1.0,0.0,0,1,0,Partial on-time payment—signal of intent; consider nudge to full.
B1003,L203,2024-10-01,2024-10-22,2024-10-15,75.0,77.03,1,10.0,0.0,3705.53,Card,1,0,NY,bnpl,0.1225,6,Employer payroll delay; expects full payment Friday.,1.0270666666666666,0,0.12981955082435415,1.0,0.0,0,1,0,Late with fee—watch for penalty spiral if repeated.
B1003,L203,2024-10-31,2024-11-21,2024-11-14,75.0,77.72,4,10.0,0.0,3630.53,Wallet,1,0,NY,bnpl,0.1225,6,Paid short due to cash flow timing; will catch up next cycle.,1.0362666666666667,0,0.12866700977869275,2.0,0.12981955082435415,0,1,0,Late with fee—watch for penalty spiral if repeated.
B1003,L203,2024-11-30,2024-12-21,2024-12-14,75.0,76.03,3,15.0,0.0,3555.53,Cash,1,0,NY,bnpl,0.1225,6,Paid short due to cash flow timing; will catch up next cycle.,1.0137333333333334,0,0.19729054320662895,3.0,0.12866700977869275,1,1,0,Late with fee—watch for penalty spiral if repeated.
